Year;1980;1984;1988;1992;1996;2000;2004;2008
1;Democrat - Angry - Jimmy Carter;Democrat - Angry - Walter Mondale;Democrat - Angry - Michael Dukakis;Democrat - Angry - Bill Clinton;Democrat - Angry - Bill Clinton;Democrat - Angry - Al Gore;Democrat - Angry - John Kerry;Democrat - Angry - Barack Obama
2;63;30;29;26;52;28;31;26
1;Republican - Angry - Ronald Reagan;Republican - Angry - Ronald Reagan;Republican - Angry - George Bush Sr.;Republican - Angry - George Bush Sr.;Republican - Angry - Bob Dole;Republican - Angry - George W. Bush;Republican - Angry - George W. Bush;Republican - Angry - John McCain
2;24;48;25;51;33;26;56;31
1;Democrat - Afraid;Democrat - Afraid;Democrat - Afraid;Democrat - Afraid;Democrat - Afraid;Democrat - Afraid;Democrat - Afraid;Democrat - Afraid
2;23;17;21;24;33;18;23;31
1;Republican - Afraid;Republican - Afraid;Republican - Afraid;Republican - Afraid;Republican - Afraid;Republican - Afraid;Republican - Afraid;Republican - Afraid
2;28;24;15;40;23;21;43;30
1;Democrat - Hopeful;Democrat - Hopeful;Democrat - Hopeful;Democrat - Hopeful;Democrat - Hopeful;Democrat - Hopeful;Democrat - Hopeful;Democrat - Hopeful
2;60;41;42;51;58;46;47;60
1;Republican - Hopeful;Republican - Hopeful;Republican - Hopeful;Republican - Hopeful;Republican - Hopeful;Republican - Hopeful;Republican - Hopeful;Republican - Hopeful
2;48;60;39;48;35;43;55;45
1;Democrat - Proud;Democrat - Proud;Democrat - Proud;Democrat - Proud;Democrat - Proud;Democrat - Proud;Democrat - Proud;Democrat - Proud
2;49;30;29;24;50;33;34;46
1;Republican - Proud;Republican - Proud;Republican - Proud;Republican - Proud;Republican - Proud;Republican - Proud;Republican - Proud;Republican - Proud
2;31;55;33;57;36;30;61;52
